ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Hoton,Hoton,10710,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Amethyst,Amethyst,275168,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Pickerill,Pickerill,1590011,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Gawain,Gawain,5775,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Whittle & Wollaston,Whittle & Wollaston,284957,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Tyne,Tyne,509350,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Waveney,Waveney,136850,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
East Davy,East Davy,75000,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Trent,Trent,392500,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Newsham,Newsham,20126,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Minerva & Apollo,Minerva & Apollo,19955,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Leman,Leman,65611,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Galahad,Galahad,37650,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Wytch Farm,Wytch Farm,526842,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Davy,Davy,114257,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Malory,Malory,68850,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Durango,Durango,154500,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Block 47,Block 47,401753,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
"Blocks 42,78 And 48","Blocks 42,78 And 48",118987,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Blocks 49 And 53,Blocks 49 And 53,15022,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Thames,Thames,441751,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Eagles pipeline,Eagles pipeline,132012,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Furzey Island,Furzey Island,21386,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Bacton,Bacton,153642,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Cleeton,Cleeton,2420,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Dimlington,Dimlington,24536,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Inde,Inde,3480,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Ravenspurn North,Ravenspurn North,6370,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
West Sole,West Sole,4350,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
Corporate,Corporate,65088236,GBP,Perenco UK Limited,04653066,2015-12-31,1,,Extractives Report,,17 Oct 2016
